name,city,price
teazzert pho you,San Francisco,$$$$
ty sandwich,San Francisco,$$$$
teazo,San Francisco,$$$
panda boba,San Francisco,$$$
little sweet,San Francisco,$$$$
tea plus,San Francisco,$$
tj cups,San Francisco,$$$$
sk tea,San Francisco,$$$$
quickly,San Francisco,$
quickly,San Francisco,$$
tea world,Pacifica,$$$
amausaan uji matcha,Daly City,$$$
tea fm,San Francisco,$$$
mr. t cafe,San Francisco,$$$$
matcha cafe maiko,San Francisco,$$$$
steep,San Francisco,$$$
b&b - banh mi & boba,San Francisco,$$$$
wooly pig,San Francisco,$$$$
happy cow creamery & tea,San Francisco,$$$$
rise & grind coffee and tea,San Francisco,$$$$
quickly,Daly City,$$
perfect pour cafe,Pacifica,$$$$
little heaven,San Francisco,$$$$
mission blue,San Francisco,$$$$
garden creamery,San Francisco,$$$$
"upfordayz coffee, tea & juice",San Francisco,$$$$
not latte,San Francisco,$$$$
new taraval cafe,San Francisco,$$$$
san francisco's hometown creamery,San Francisco,$$$$
precita park cafe,San Francisco,$$$
cafe la flore irving,San Francisco,$$$$
moshi moshi boba cafe,Greensboro,$$$$
pika tea,Greensboro,$$$$
1102 bubble tea & coffee,Burlington,$$$$
gong cha,Greensboro,$$$
tea lala boba & che,Greensboro,$$$$
moge tee,Chapel Hill,$$$
tea time boba tea lounge,High Point,$$$$
moge tee - durham,Durham,$$$$
kelly cafe,Salem,$$$$
cha house wake forest,Wake Forest,$$$$
mochinut raleigh,Raleigh,$$$$
bobo cafe,Greensboro,$$$$
tiger tea,Winston-Salem,$$$$
master tea cafe & bites,Greensboro,$$$$
akoko,Greensboro,$$$$
binki cafe - winston salem,Winston-Salem,$$$
kung fu tea,High Point,$$$$
momo ashi cafe,Winston-Salem,$$$$
kung fu tea - raleigh,Raleigh,$$$
hibachi grill & bubble tea,Jamestown,$$$$
bubble bear,Greensboro,$$$$
champloo desserts,Raleigh,$$$$
champloo desserts,Roanoke,$$$
feng cha wake forest,Wake Forest,$$$$
koala crafts art studio,Chapel Hill,$$$$
feng cha raleigh,Raleigh,$$$$
royal tea cafe,Burlington,$$$
68 bubble tea,Lynchburg,$$$$
boulevard rtp,Durham,$$$$
yumi sushi tea & sake,High Point,$$$$
tea hill,Chapel Hill,$$$$
quickly tea house,Durham,$$$$
quickly - chapel hill,Chapel Hill,$$$$
teaq,Raleigh,$$$$
smiley tea,Salem,$$$$
bapu tea house,Durham,$$$
frozy,Durham,$$$$
yaya tea  - chapel hill,Chapel Hill,$$$$
tutti frutti frozen yogurt,Durham,$$$$
yaya tea,Durham,$$$
rena marie's,Winston-Salem,$$$
wheat,Durham,$$$$
milklab - southpoint,Durham,$$$
bubbleful tea,High Point,$$$
colonial grind,Thomasville,$$$$
salt n cocoa,Durham,$$$$
bee town cravings,Burlington,$$$$
milk lab - durham,Durham,$$$$
cocoa cinnamon,Durham,$$$
cold stone creamery,Chapel Hill,$$
sesantea,Roy,$$$$
taiyaki sweet,Clearfield,$$$
tea's memory,Farmington,$$$$
boba world,Woods Cross,$$$$
pearl milk tea club,Salt Lake City,$$$$
aboutea,Ogden,$$$$
ding tea bountiful,West Bountiful,$$$$
pearl milk tea club,Ogden,$$$
chicha san chen,West Jordan,$$$$
kung fu tea,Salt Lake City,$$$
boba guru,West Valley City,$$$$
tea bar,Salt Lake City,$$$
blue blue,Salt Lake City,$$$$
spill the tea,Taylorsville,$$$$
7buddha tea house & desserts,Murray,$$$
the tea grotto,Salt Lake City,$$$$
shiba boba,Salt Lake City,$$$$
tea & brown,Salt Lake City,$$$$
lollicup,Salt Lake City,$$$
quickly,West Valley City,$$$
backstreet boba,West Valley City,$$$$
ding tea,South Jordan,$$$$
space tea,Salt Lake City,$$$$
gossip tapioca,West Valley City,$$$$
petit fours & purls,Lehi,$$$$
pearl milk tea club,South Ogden,$$$$
blue blue,West Valley City,$$$$
sunny honey,Salt Lake City,$$$$
boba memory,South Jordan,$$$$
xing fu tang,Salt Lake City,$$$$
caffe dbolla,Salt Lake City,$$$$
monarch tea house,Brigham City,$$$$
boba break,Sandy,$$$$
boo boba,Saratoga Springs,$$$$
swig,Clinton,$$$$
boba luv,Salt Lake City,$$$
mochinut,Salt Lake City,$$$$
ding tea,Taylorsville,$$$$
kung fu tea,West Jordan,$$$$
aboutea,South Salt Lake,$$$$
meet fresh,Salt Lake City,$$$$
ding tea,West Jordan,$$$$
sharetea,West Valley City,$$$$
presotea utah,Midvale,$$$$
boba bee,Riverton,$$$
bubbles drinks and more,Taylorsville,$$
da cloud boba shoppe,Pleasant Grove,$$$$
tiger sugar,Salt Lake City,$$$
kung fu tea,Draper,$$$$
soda boba,South Jordan,$$$
mochinut,Park City,$$$$
m tea,Sandy,$$$
hi tea,Herriman,$$$$
mochinut,South Jordan,$$$$
buzzbru,West Haven,$$$$
hello boba,Salt Lake City,$$$
happy teriyaki,Pleasant Grove,$$$$
timi boba,Ogden,$$$
doki doki,Salt Lake City,$$$$
boba tea,Murray,$$$
swig,Lehi,$$$
sweet & cool,South Salt Lake,$$$
swig,Bountiful,$$$
boba bee,American Fork,$$$
bobas & crepes,Tooele,$$$$
lazysunday,Salt Lake City,$$
yogurt stop,Sandy,$$$$
cafe trang,South Jordan,$$$
bubble n bean,Draper,$$$$
pirate o's,Draper,$$$$
swig,Draper,$$$
swig,Murray,$$$
swig,Cedar Hills,$$
i love moo,Park City,$$$
aobaba bubble tea & juicy bar restaurant,Dublin,$$$$
quickly,Pinole,$$$
lemon gals,San Pablo,$$$$
limon frozen yogurt,San Pablo,$$
the whale tea,Fairfield,$$$$
loose leaf boba co,New Haven,$$$$
pearls n swirls,Fairfield,$$$$
yaaas tea,Farmingdale,$$$$
taro taro,Newington,$$$$
kung fu tea,West Hartford,$$$$
xing fu tang,New York,$$$$
sweetory,Jackson Heights,$$$$
gong cha,Long Island City,$$$$
bambu,Stony Brook,$$$$
fiftylan koreatown,New York,$$$$
julieats dessert cafe,Forest Hills,$$$$
sugar bae dessert cafe,Hicksville,$$$$
bobafish,New York,$$$$
the whale tea,Stamford,$$$$
boba box2,New York,$$$$
village tea shop,Ridgewood,$$$$
sìyì tea & incense,New York,$$$$
dragon tea,Mamaroneck,$$$$
the whale tea,White Plains,$$$$
grace street,New York,$$$$
i’milky - midtown,New York,$$$$
boba baar,Garden City,$$$$
pearl dynastea,Bronx,$$$$
surreal creamery,New York,$$$$
ümacha,Edgewater,$$$$
flower bloom tea,Flushing,$$$$
okinawa boba,Hartford,$$$
chun yang tea,Flushing,$$$$
tea break,West Hartford,$$$$
tea moment,Brooklyn,$$$$
sopoong,Wyckoff,$$$$
tp tea,Queens,$$$$
heytea,Long Island City,$$$$
lazy sundaes,New York,$$$$
chicha san chan,New York,$$$$
new haven tea,New Haven,$$$$
sweetea,New York,$$$$
teado tea shop,New York,$$$$
jooy tea shoppe,New York,$$$$
machi machi,New York,$$$
chic tea,Brooklyn,$$$$
gong cha,New Milford,$$$$
upwind milk tea bar,Brooklyn,$$$$
gong cha,New York,$$$$
mudflow tea house,Brooklyn,$$$$
pig pig cafe,Brooklyn,$$$$
tbaar - times square,New York,$$$$
moge tee - bayside,Queens,$$$$
bite & tea,Bristol,$$$$
v3nom cafe & lounge,Jamaica,$$$$
machi machi,Flushing,$$$
i’milky 沐白 - flushing,Flushing,$$$
kung fu tea,New Haven,$$$$
shiro,Stamford,$$$$
dragon tea,New York,$$$$
miss du’s tea shop,New York,$$$$
t-swirl crêpe,New Haven,$$$$
kung fu tea,New York,$$$$
kung fu tea,Hicksville,$$$$
pyo chai,Hicksville,$$$$
tea and milk,Astoria,$$$$
tea talk café,Poughkeepsie,$$$$
gong cha,Hackensack,$$$$
m tea,Long Island City,$$$$
tea magic,New York,$$$
coco fresh tea and juice,Astoria,$$$
cha dao bubble tea,Mineola,$$$$
gong cha,Jersey City,$$$
cece bubble tea cafe,Shelton,$$$$
cha papi,West Hartford,$$$$
bing ling tea,Brooklyn,$$$$
the whale tea,New Haven,$$$$
the whale tea - norwalk,Norwalk,$$$$
gong cha,Brooklyn,$$$$
cozy tea loft,East Rutherford,$$$$
bobba hubba,Elmhurst,$$$$
cafe leah,Palisades Park,$$$$
möge tee,Brooklyn,$$$$
pick up bubble tea,Mount Kisco,$$$
infinitea ny,Astoria,$$$$
din tai fung,New York,$$$$
kaliubon,Wethersfield,$$$$
gong cha,New York,$$$$
penny cha,Stamford,$$$$
bobaly,Fair Lawn,$$$$
yi fang taiwan fruit tea,Stamford,$$$$
modern tea shop,New York,$$$$
gong cha,New York,$$$$
vivi bubble tea,Brooklyn,$$$
tea cup cafe,Elmhurst,$$$
kung fu tea,Stony Brook,$$$
sip n' play,Brooklyn,$$$$
the teapsy new york,Astoria,$$$$
toppings frozen yogurt,New Windsor,$$$
tidal tea,New York,$$$$
the early bird cafe,East Meadow,$$$$
you me and tea,Port Jefferson,$$$$
the whale tea,Milford,$$$$
the whale tea,Bayport,$$$$
curbside,Bayside,$$$$
prince tea house,New York,$$$$
asian fusion,Glen Rock,$$$$
gong cha - brooklyn,Brooklyn,$$$$
vivi bubble tea,Brooklyn,$$$$
yaya tea - flushing,Flushing,$$$$
yum ice cream&bubble tea,New Rochelle,$$$$
urban leaf cafe,Nutley,$$$$
hawa smoothies & bubble tea,New York,$$$$
möge tee -first ave,New York,$$$$
mi tea,New York,$$$$
yaya tea garden,New York,$$$$
ninja bubble tea,Stamford,$$$
19 el,Brooklyn,$$$$
bubble bear tea,Huntington Station,$$$$
cha-an,New York,$$$$
yaaas tea - stony brook,Stony Brook,$$$$
moge tee-huntington,Huntington,$$$$
chai wala,Jamaica,$$$$
bibble & sip,New York,$$$$
sweetea,New York,$$$$
bubble tea culture & snacks,North Babylon,$$$$
cream coffee & tea shop,Brooklyn,$$$$
boba fries,Elmhurst,$$$$
yaaas tea-syosset,Syosset,$$$$
kimochi premium bubble tea,Selden,$$$$
friend's corner tea & snack bar,Highland,$$$$
boba whale,New York,$$$$
the chai shop,New Hyde Park,$$$
q tea tapas,Fort Lee,$$$$
master panda,New York,$$$
bubble tea,New York,$$$$
smo tea,Garden City Park,$$$$
poke boba,Greenwich,$$$$
yaas tea stony brook,Stony Brook,$$$$
tbaar park slope,Brooklyn,$$$$
the green teahouse,Farmington,$$$$
kung fu tea,Bronx,$$$$
prince tea house,New York,$$$$
vivi bubble tea,New York,$$$
lucky penguin,Glen Head,$$$$
song tea,Flushing,$$$
gong cha,Garden City,$$$
tiger sugar,New York,$$$$
biao sugar,New York,$$$
yaaas tea-great neck,Great Neck,$$$$
cafe bubbly,Hicksville,$$$$
débutea - greenwich village,New York,$$$$
möge tee,New Hyde Park,$$$$
momo tea,Bellmore,$$$$
uncle drink,Astoria,$$$$
retreat sweets,Westport,$$$$
kobocha bubble tea,Rocky Hill,$$$$
momo ashi,Queens,$$$$
the whale tea,Flushing,$$
sugarcube new york,Queens,$$$$
cafe lahooti,Smithtown,$$$$
teguk,New York,$$$
xing fu tang,Flushing,$$$$
mr.wish,Great Neck,$$$$
boba fries,Flushing,$$$$
yaaas tea rockville centre,Rockville Centre,$$$$
wanpo tea shop,New York,$$$$
yi fang taiwan fruit tea,Long Island City,$$$$
quickly,Jericho,$$$$
bz royal tea,New Windsor,$$$$
yaaas tea-new hyde park,New Hyde Park,$$$$
fiftylan union square,New York,$$$$
momen tea - time square,New York,$$$
yaaas tea-patchogue,Patchogue,$$$$
loose leaf boba co,Wallingford,$$$$
koi,Levittown,$$$$
surreal creamery,New York,$$$$
yoi ramen & tea,New York,$$$$
great east boba,Queens,$$$$
cozy boba tea,Hyde Park,$$$$
coco,Westbury,$$$
siips bubble,Elmhurst,$$$$
yoyo,New Fairfield,$$$$
coconut&more,Elmhurst,$$$$
boba land,Palisades Park,$$$
sippin bubbles tea cafe,Prospect,$$$$
tsaocaa - secaucus,Secaucus,$$$$
alimamatea,New York,$$$$
sweet u cafe & catering,Redwood City,$$$$
chachacha-99teahouse,Fremont,$$$$
royaltea usa,Fremont,$$$$
ume tea,Fremont,$$$$
rose tea lounge - fremont,Fremont,$$$$
sharetea,Fremont,$$$
tpumps - fremont,Fremont,$$$$
tastea,Newark,$$$
mandro teahouse,Newark,$$$$
teatop,Newark,$$$$
i-tea,Fremont,$$$
tapioca express,Fremont,$$$
brian black tea,Fremont,$$$$
meet fresh,Fremont,$$$
phin cafe,Fremont,$$$$
t4,Fremont,$$$
r&b tea - fremont,Fremont,$$$
ain't common,Fremont,$$$
yi fang taiwan fruit tea - fremont,Fremont,$$$$
happy lemon,Newark,$$$$
hay tea,Newark,$$$
boba nation,Newark,$$$$
teazentea newark,Newark,$$$
tapioca express,Union City,$$$
k on the go,Union City,$$$$
teazentea fremont,Fremont,$$$
yokee milk tea,Fremont,$$$$
ten ren tea,Milpitas,$$$$
umi tea,Fremont,$$$$
i-tea,Milpitas,$$$
happy lemon,Fremont,$$$$
teaspoon milpitas,Milpitas,$$$
sana tea & dessert,Fremont,$$$$
r&b tea - nitro,Milpitas,$$$
mr sun tea,Fremont,$$$
tata teahouse,Fremont,$$
sunright tea studio - milpitas,Milpitas,$$$$
joy4tea,Union City,$$$
mr. green bubble,Fremont,$$$
bayleaf tea,Milpitas,$$$$
k on the go,Milpitas,$$$$
umi tea & ramen,Fremont,$$$$
feng cha - milpitas,Milpitas,$$$
teatop,Milpitas,$$$$
macu tea - berryessa,San Jose,$$$$
ume tea,Milpitas,$$$$
x tea,San Jose,$$$$
pekoe,San Jose,$$$
xing fu tang,Milpitas,$$$
teazentea milpitas,Milpitas,$$$
orange square - milpitas,Milpitas,$$$
anton,San Jose,$$$$
gong cha - union city,Union City,$$$
milk & honey cafe,Fremont,$$$$
tong sui,Milpitas,$$$$
bambu,Milpitas,$$$
wanpo tea shop,Palo Alto,$$$
tiger tea & juice - san jose,San Jose,$$$$
one zo,Fremont,$$$
boba galaxy,San Jose,$$$$
heuk hwa dang,Milpitas,$$$
tea time,Palo Alto,$$$
mr sun tea,Palo Alto,$$$$
rabbit rabbit cream,Palo Alto,$$$
tyme for tea & co,Fremont,$$$
ume tea,Milpitas,$$$$
boba queen,Fremont,$$$
mr green bubble,Union City,$$$
el frutiloco,Fremont,$$$$
tao‘s fresh,Newark,$$$$
chick & tea taiwanese soul food,Milpitas,$$$
bobaholics,San Jose,$$$$
crepe & tea bar,Newark,$$$$
dish n dash - fremont,Fremont,$$$$
bober tea & coffee,Palo Alto,$$$$
tisane,San Jose,$$$
boba guys,Palo Alto,$$$
3catea,Milpitas,$$$
boba nation,Pleasanton,$$$$
he&c tea+pot,Palo Alto,$$$$
happy lemon,Union City,$$$
shihlin taiwan street snacks,Fremont,$$$$
t4,Palo Alto,$$$
cafe mei,Fremont,$$$$
teaspoon,Fremont,$$$
tamper room cafe & gallery,Fremont,$$$$
kung fu tea,Palo Alto,$$$$
bun appetit,Fremont,$$$$
huong lan sandwiches,Newark,$$$
mr green bubble,West Menlo Park,$$$
amausaan uji matcha,Newark,$$$
cafe 86,Union City,$$$$
teaspoon hostetter,San Jose,$$$
acha coffee & tea,San Jose,$$$$
teazentea,Pleasanton,$$$$
yi fang taiwan fruit tea - milpitas,Milpitas,$$$$
ume tea,Palo Alto,$$$
honey tea,Pleasanton,$$$
fantasia coffee & tea,Milpitas,$$$
kiss my boba food truck,Hayward,$$$
pop tea bar,Palo Alto,$$$
ume tea,Pleasanton,$$$
tong sui,Palo Alto,$$$$
te'amo boba tea x mochi donut,Palo Alto,$$$
tastea,San Jose,$$$
shihlin taiwan street snacks,Milpitas,$$$$
tocotea,Union City,$$$
quickly,Milpitas,$$
soul sweets,Scotts Valley,$$$$
boba bay,Capitola,$$$
tealite drinks & snow,Morgan Hill,$$$$
t4 morgan hill,Morgan Hill,$$$
tzone - santa cruz,Santa Cruz,$$$
yan's tea,San Carlos,$$$$
eyefinitea optique & lounge,Morgan Hill,$$$$
icrave,Capitola,$$$$
tea hut,San Carlos,$$$
ume tea,Santa Cruz,$$$
boba pub,San Jose,$$$
pink pantherz espresso,Redwood City,$$$
dessert lounge,Watsonville,$$$$
teaspoon,Campbell,$$$$
tisane,San Jose,$$$$
kamurocho,Pleasanton,$$$$
bober tea,San Ramon,$$$$
teazentea - dublin,Dublin,$$$$
mochi dough,San Ramon,$$$$
frozone gelato,Union City,$$$
bober tea & coffee,San Carlos,$$$$
gong cha dublin,Dublin,$$$$
boba & more,Dublin,$$$
sodam,Dublin,$$$$
blossom bee,Dublin,$$$$
quickly,Redwood City,$$
teaspoon,San Ramon,$$$
t4,San Ramon,$$$
happy lemon,Danville,$$$
che-lo,Union City,$$$$
quickly,Pleasanton,$$
mochinut - concord,Concord,$$$$
panache caffe,Lafayette,$$$$
breaktime tea,Concord,$$$$
chalogy,Walnut Creek,$$$$
bondadoso coffee and tea collective,Walnut Creek,$$$$
uji time dessert,Concord,$$$$
surf city squeeze,Concord,$$$
saigon bistro,Concord,$$$
crumbl,Concord,$$$
coco boba tea,Vancouver,$$$$
just tea,Portland,$$$$
honey pearl cafe,Portland,$$$$
fantastea house,Portland,$$$$
doja tea lounge,Tualatin,$$$$
fantastea house,Beaverton,$$$$
bobacat tea house,Portland,$$$$
bubble n tea,Beaverton,$$$$
bobablastic,Salem,$$$
royaltea beaverton,Beaverton,$$$$
chicha san chen,Beaverton,$$$$
sharetea,Happy Valley,$$$$
tea talk,Portland,$$$$
sharetea,Vancouver,$$$$
ding tea psu,Portland,$$$
royaltea portland,Portland,$$$$
sprinkle divine,Portland,$$$$
chen fu bubble tea,Hillsboro,$$$$
cup and cone,Portland,$$$$
happy lemon,Tigard,$$$$
boba time,Vancouver,$$$$
yoonique tea,Portland,$$$$
tea chai te,Portland,$$$$
bobo tea house,Hillsboro,$$$$
t4,Keizer,$$$$
tea & tea,Portland,$$$$
bubble bear,Newberg,$$$$
fat straw,Portland,$$$
auntea ha,Portland,$$$$
ocha tea corner,Portland,$$$
tea & tea,Beaverton,$$$
bobablastic,Happy Valley,$$$
ding tea williams,Portland,$$$$
redstraw,Portland,$$$$
braganza tea,Happy Valley,$$$$
braganza tea,Portland,$$$$
ithai boba,Portland,$$$$
sharetea,Camas,$$$
sassy souk pho & boba tea,Portland,$$$$
sharetea,Portland,$$$
phin caphe & boba,Portland,$$$$
softea,Vancouver,$$$$
bubble tea & brews,Gresham,$$$
ding tea pdx,Portland,$$$$
mo cha tea house,Beaverton,$$$
daboba,Orchards,$$$$
t4,Beaverton,$$$
bobablastic,Portland,$$$
zero degrees portland,Portland,$$
mamancy tea & chocolate,Hillsboro,$$$
yin’s tea,Portland,$$$$
boba tree,Vancouver,$$$$
boba tree - salmon creek,Vancouver,$$$$
monster tea house,Portland,$$$$
short & sweet,Vancouver,$$$$
cosmic boba,Clackamas,$$$$
ding tea,Vancouver,$$$
april 90 thai bistro x soul cie tea,Portland,$$$$
junbi,Portland,$$$$
monster tea house,Lake Oswego,$$$$
sharetea,Gresham,$$$
bobo bubble tea and coffee,Happy Valley,$$$$
tea & tea - opening soon,Portland,$$$$
braganza tea,Portland,$$$$
yi fang taiwan fruit tea,Portland,$$$$
tiki tea,Portland,$$$$
tiger sugar,Beaverton,$$$$
kung fu tea,Portland,$$$
zero&,Beaverton,$$$$
sharetea,Beaverton,$$$
sugar bubbles,Hillsboro,$$$$
bobablastic,Beaverton,$$$
tea artist portland,Portland,$$$$
gạch viet tea house,Portland,$$$$
phin caphe & boba,Beaverton,$$$$
tea & tea,Portland,$$$$
t4,Portland,$$$$
mía 102,Portland,$$$$
happy lemon,Beaverton,$$$
peachy berry,Wilsonville,$$$
churn cafe and crêperie,Portland,$$$$
mr. bento,Hillsboro,$$$$
mamancy tea & chocolate,Beaverton,$$$
premium matcha cafe maiko,Portland,$$$$
t4 - vancouver,Vancouver,$$$$
tea social,Portland,$$$
tea bar,Portland,$$$$
mo cha tea house,Beaverton,$$$
zero degrees - beaverton,Beaverton,$$$
t4,Portland,$$$
portal tea company,Portland,$$$$
bobablastic,McMinnville,$$$
bubble bubble tea,Beaverton,$$$
pip's original doughnuts & chai,Portland,$$$$
boba tea crew,Keizer,$$$
olia poke & tea,Portland,$$$$
mochinut - hawthorne,PORTLAND,$$$
pretea,Beaverton,$$$
happy lemon,Portland,$$$
kung fu tea,Hillsboro,$$$
sharetea,Hillsboro,$$$
kung fu tea,Vancouver,$$$
ding tea,Vancouver,$$$$
sharetea,Lake Oswego,$$$$
bobablastic,Forest Grove,$$$
la rose patisserie,Beaverton,$$$$
ez freezy,Portland,$$$
bobadochi,Salem,$$$
boba boom,Salem,$$$
toast la tea,Portland,$$$
meet fresh,Portland,$$$$
cafe ume,Portland,$$$$
braganza tea,Vancouver,$$$$
bubble crunch,Portland,$$$
t4,Clackamas,$$$
22 below,Tigard,$$$
tea & tea - ne alberta st,Portland,$$$
bobablastic,Portland,$$
dd sweet house,Portland,$$$
22 below,Portland,$$$
t4,Portland,$$$
squishtea,Happy Valley,$$$
bambu,Portland,$$$
picoberry,Wood Village,$$$
icandy,Gresham,$$$$
cloud 9,Vancouver,$$$
22 below,Salem,$$$
stadium superette,Portland,$$$
anna's chocolate cafe,Portland,$$$$
moberi,Portland,$$$$
moberi,Portland,$$$$
t4,Dublin,$$$
ovasians,Livermore,$$$$
zero& sfpo kiosk,Livermore,$$$$
teavoli boba,Dublin,$$$
happy lemon,Pleasanton,$$$$
teaspoon,Dublin,$$$
tea heart kiosk,Livermore,$
bobafinitea,Pleasanton,$$$
icicles,Pleasanton,$$$
shihlin taiwan street snacks,Pleasanton,$$$
tea heart,Pleasanton,$$
ululani’s hawaiian shave ice - livermore,Livermore,$$$$
chick & t bento,Pleasanton,$$$
arisa dessert,Pleasanton,$$$
berry & berry yogurt,Livermore,$$
mcdonald's,Pleasanton,$
surf city squeeze,Pleasanton,$$$
o2 valley,Palo Alto,$$$$
teaspoon,Palo Alto,$$$
konditorei,Portola Valley,$$$
wild berry yogurt,Menlo Park,$$$
zero& stanford mall,Palo Alto,$$$
somisomi,Palo Alto,$$$$
mademoiselle colette,Menlo Park,$$$$
coupa cafe,Palo Alto,$$$
forbes family café,Stanford,$$
peachy rolls,Augusta,$$$$
ding tea,Martinez,$$$$
gong cha - augusta,Augusta,$$$$
teaspoon augusta,Evans,$$$$
tutti frutti,Augusta,$$$
lily coffee tea and bread,Augusta,$$$$
tong sui,Redwood City,$$$$
teaspoon,Redwood City,$$$
happy lemon,Redwood City,$$$$
cravingz,Redwood City,$$$$
froyola,Redwood City,$$$$
spill the tea,Redwood City,$$$
sf gelateria,Redwood City,$$$$
zero& great mall,Milpitas,$$$
sharetea,San Jose,$$$
yummi tea cafe,San Jose,$$$$
devil & angel desserts,Milpitas,$$$
gong cha,San Jose,$$$
happiness cafe,San Jose,$$$$
milk tea lab,San Jose,$$$
t4,San Jose,$$$
bobaholics,San Jose,$$$$
happy lemon,San Jose,$$$$
the besteas cafe,San Jose,$$$$
sinceretea,San Jose,$$$$
coco fresh tea and juice,San Jose,$$$
mandro teahouse-milpitas,Milpitas,$$$
chu choa tea,San Jose,$$$$
shihlin taiwan street snacks,San Jose,$$$$
tcafé,San Jose,$$$$
7 leaves cafe,San Jose,$$$$
simpletea,San Jose,$$$
flaming ox,San Jose,$$$$
bambu,San Jose,$$$$
cotton cafe & tea wheel pie,San Jose,$$$
hapa musubi,Milpitas,$$$$
yogurtland,Milpitas,$$$$
taiwan cafe,Milpitas,$$$
tapioca express,San Jose,$$
caffe bene,San Jose,$$$
auntie k candy,San Jose,$$$$
sweet fix creamery,San Jose,$$$$
taiwan porridge - milpitas,Milpitas,$$$
101 tea plantation,Fremont,$$$
caffino cup,Milpitas,$$$$
oh my boba,San Jose,$$$$
little taipei cafe,Fremont,$$$
milkcow,Fremont,$$$
taro’s boba bar,San Jose,$$$$
ding tea,San Jose,$$$$
caffe:in - santa clara,Santa Clara,$$$$
sunright tea studio- san jose,San Jose,$$$$
k cafe patisserie & tea house,San Jose,$$$
teaqueria,San Jose,$$$$
gong cha willow glen,San Jose,$$$$
iscu tea,San Jose,$$$$
teaologist,San Jose,$$$
boba bar,San Jose,$$$
t4 a cup of tea,Los Gatos,$$$
feng cha tea house,San Jose,$$$$
feng cha - san jose,San Jose,$$$$
tea alley,San Jose,$$$
t4 - los gatos,Los Gatos,$$$$
tea plus,Santa Clara,$$$
milk tea lab,San Jose,$$$
presotea,Elk Grove,$$$$
pearls boba and shaved ice,Sacramento,$$$$
deluna dessert cafe,Sacramento,$$$$
yifang taiwan fruit tea - elk grove,Elk Grove,$$$$
t% coffee +tea - stockton,Stockton,$$$$
mochinut vacaville,Vacaville,$$$
bella's boba shop,Sacramento,$$$$
bober tea,Sacramento,$$$$
one milk tea - sacramento,Sacramento,$$$$
pop,Tracy,$$$$
tutti frutti,Fairfield,$$$
t4 tracy,Tracy,$$$$
t% coffee + tea - elk grove,Sacramento,$$$$
teaspoon,Sacramento,$$$$
mr & mrs tea house,San Francisco,$$$
dragon tea cafe,Antelope,$$$$
lazi cow - arden arcade,Sacramento,$$$$
t4 davis,Davis,$$$
sonoma chocolatiers,Sebastopol,$$$
intrinsic cafe,Newark,$$$$
yaya tea newark,Newark,$$$$
kung fu tea,Montclair,$$$
gong cha,Montclair,$$$$
mocha town,Newark,$$$
cosy cup library,Jersey City,$$$$
gong cha,Union,$$$
lil m bubble tea,Jersey City,$$$$
cafe mil hojas,Harrison,$$$
mochi ring,Union,$$$$
hui lau shan,East Rutherford,$$$
timi mochi,Belleville,$$$
16 handles,Elizabeth,$$$
kung fu tea,Union,$$
real fruit bubble tea,Elizabeth,$$$
ice moon,Elizabeth,$$$
uji time dessert,San Francisco,$$$$
yokee milk tea,San Francisco,$$$$
virtual teakup sf,San Francisco,$$$
black sugar,San Francisco,$$$$
boba & brew,San Francisco,$$$$
bubble queen,San Francisco,$$$$
tibear,San Francisco,$$$$
zero&,San Francisco,$$$$
zero &,San Francisco,$$$$
aura tea,San Francisco,$$$
miss t,San Francisco,$$$$
plentea,San Francisco,$$$$
happy lemon,San Francisco,$$$
gong cha,San Francisco,$$$
steep pop-up 2024,San Francisco,$$$$
ha tea,San Francisco,$$$
hi sweetie tea and treats,San Francisco,$$$$
lilikoi,San Francisco,$$$$
quickly - kobe bento,San Francisco,$$$
imperial tea court,San Francisco,$$$
coco fresh tea & juice,San Francisco,$$$
pink pink tea shoppe,San Francisco,$$$
inner richmond - little sweet,San Francisco,$$$$
wake cup,San Francisco,$$$$
phi long sandwich,San Francisco,$$$$
e tea,San Francisco,$$$
three polar bears,San Francisco,$$$$
sharetea,San Francisco,$$$
bobahead,San Francisco,$$$
sweet mango dessert & cafe,San Francisco,$$$
sweet glory,San Francisco,$$$$
naya dessert cafe,San Francisco,$$$
steep creamery & tea,San Francisco,$$$$
spro,San Francisco,$$$$
honey b tea house,San Francisco,$$$
boba guys,San Francisco,$$$$
lilikoi,San Francisco,$$$
xpresso tea,San Francisco,$$$
tsaocaa,Pittsburgh,$$$$
kung fu tea,Pittsburgh,$$$$
yotea & yoka kitchen,Pittsburgh,$$$$
fuku tea,Pittsburgh,$$$$
tsaôcaa,Pittsburgh,$$$$
dr tea,Pittsburgh,$$$$
wushiland boba,Pittsburgh,$$$$
jjpoké,Pittsburgh,$$$$
bubble bee,Pittsburgh,$$$$
dobra tea,Pittsburgh,$$$$
chatime,Pittsburgh,$$$
café 102,Pittsburgh,$$$$
chick'n bubbly,Pittsburgh,$$$
meccha matcha,Pittsburgh,$$$$
bae bae’s cafe,Pittsburgh,$$$$
bubble fish,Pittsburgh,$$$$
dragon fusion boba,Brentwood,$$$$
mango mango dessert,Pittsburgh,$$$$
bubble bee ross park,Pittsburgh,$$$
bubble bee,Upper Saint Clair,$$$
julie’s bubble tea & smoothies,Irwin,$$$$
rose tea cafe,Pittsburgh,$$
