name,city,price
molly jasmine,Davis,$$$$
lady luck cafe,San Francisco,$$$$
le dessert lab,Richmond,$$$
lilikoi on broadway,Burlingame,$$$$
feng cha teahouse,San Francisco,$$$$
yifang taiwan fruit tea,Walnut Creek,$$$$
tea hut,San Francisco,$$$
t4 - tea 4 u,Sacramento,$$$$
pink pink tea shoppe,San Francisco,$$$$
happy lemon,San Francisco,$$$$
teaspoon,Santa Rosa,$$$$
bb tea,San Francisco,$$$
kudos tea & coffee,Antioch,$$$$
big-bang boba & chicken,Concord,$$$$
p-town coffee & tea,Pacifica,$$$$
boba ninja,Berkeley,$$$$
t% coffee +tea -  sacramento midtown,Sacramento,$$$$
sharetea,San Leandro,$$$
cafe tapioca,Dublin,$$$
purtea,San Francisco,$$$$
fidi - little sweet,San Francisco,$$$$
milk tea lab,Vacaville,$$$$
raretea,Sacramento,$$$$
zero&,San Francisco,$$$$
t4 clayton,Concord,$$$
milky way tea shoppe,Dublin,$$$$
caffe:in,Union City,$$$
teapot,Pleasant Hill,$$$
fat straw cafe,Livermore,$$$
devil & angel desserts,Fairfield,$$$
japantown - little sweet,San Francisco,$$$$
yum cha boba tea & more,Brentwood,$$$
frostea,San Francisco,$$$
zero& stoneridge,Pleasanton,$$$$
bobaloca,Concord,$$$
sharetea,Fairfield,$$$
sip & savor,Hayward,$$$$
koba cafe,Vienna,$$$$
quickly benicia,Benicia,$$$
rrags caffe,Benicia,$$$$
lovejoy's tea room,San Francisco,$$$$
dessert cafe concord,Concord,$$$$
hey! i am yogost,Pleasanton,$$$$
mr. green bubble,Walnut Creek,$$$
teance fine teas,Berkeley,$$$$
dartealing lounge,San Francisco,$$$
crown & crumpet tea salon,San Francisco,$$$$
double rainbow cafe,San Rafael,$$$$
t4 - walnut creek,Walnut Creek,$$$
mochinut,Pinole,$$$
three tea bowls - pop-up tea bar,Berkeley,$$$$
kuboba spot,Berkeley,$$$$
t time,Pittsburg,$$$$
milk tea lab,Concord,$$$$
sharetea,Pittsburg,$$$$
teaspoon - berkeley,Berkeley,$$$$
u cha,Berkeley,$$$$
yi fang taiwan fruit tea,Berkeley,$$$$
teaspoon,Walnut Creek,$$$$
hay tea,Berkeley,$$$
purple kow,San Francisco,$$$
purple kow,Berkeley,$$$
t4,San Ramon,$$$
honeybear boba,San Francisco,$$$$
rare tea,Berkeley,$$$
i-tea,Pleasanton,$$$
plentea,San Francisco,$$$
happy lemon,San Francisco,$$$$
hui lau shan,Berkeley,$$$$
yifang taiwan fruit tea - colma,Colma,$$$
teaspoon,Concord,$$$$
urban ritual,San Francisco,$$$$
cha thai tea,Berkeley,$$$$
asha tea house,Berkeley,$$$$
far leaves tea,Berkeley,$$$$
the alley,Berkeley,$$$
plentea,Berkeley,$$$
u dessert story - berkeley,Berkeley,$$$$
sharetea,Berkeley,$$$
813 cha siam,Berkeley,$$$$
elaichi co.,Berkeley,$$$$
wow wow hawaiian lemonade,Berkeley,$$$$
