Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,TradeValue,Quantity,Quantity Unit
Hungary,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           4562.92,5.7442e+006,Kg
Finland,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           4524.71,1.01994e+006,Kg
Dominican Rep.,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           4283.21,670366,Kg
Czechia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           4207.10,284162,Kg
Ireland,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           4155.23,479528,Kg
Palestine,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           4009.70,1.01268e+006,Kg
Lebanon,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           2864.26,759294,Kg
Austria,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           2481.11,452931,Kg
New Zealand,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           2371.39,276661,Kg
Thailand,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           2195.95,254843,Kg
South Korea,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           2059.21,313577,Kg
Angola,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           1870.90,,
Latvia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           1856.68,384670,Kg
Japan,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           1448.91,287849,Kg
Kuwait,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           1339.47,248367,Kg
Norway,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           1271.92,235680,Kg
Luxembourg,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           1159.49,125242,Kg
Oman,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,           1078.74,285965,Kg
Ukraine,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            944.29,110936,Kg
Georgia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            792.41,278712,Kg
Malawi,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            714.99,168831,Kg
Bulgaria,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            695.87,160082,Kg
Philippines,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            472.79,119172,Kg
Croatia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            399.85,35466.8,Kg
Chile,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            327.68,,
Panama,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            312.91,51212,Kg
